prodi pilihan 1,prodi pilihan 2,prodi pilihan 3
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),IAIN Surakarta - Manajemen Bisnis Syariah
UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),IAIN Salatiga  - Pendidikan Guru Madrasah Ibtidaiyah,IAIN Salatiga  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
IAIN Purwokerto  - Ekonomi Syariah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Walisongo Semarang  - Ekonomi Syariah / Ekonomi Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Walisongo Semarang  - Pendidikan Guru Madrasah Ibtidaiyah
UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Walisongo Semarang  - Bimbingan dan Penyuluhan Islam,UIN Walisongo Semarang  - Tasawuf dan Psikoterapi
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Walisongo Semarang  - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,IAIN Purwokerto  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,IAIN Purwokerto  - Ilmu Al Qur'an dan Tafsir
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,IAIN Purwokerto  - Ekonomi Syariah
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,IAIN Kudus  - Ilmu al-Quran dan Tafsir,UIN Maulana Malik Ibrahim Malang  - Ilmu Alqur'an dan Tafsir
UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama,UIN Walisongo Semarang  - Komunikasi dan Penyiaran Islam,IAIN Purwokerto  - Komunikasi Penyiaran Islam
IAIN Purwokerto  - Manajemen Pendidikan Islam,UIN Walisongo Semarang  - Manajemen Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,IAIN Purwokerto  - Ekonomi Syariah,UIN Walisongo Semarang  - Manajemen Dakwah
IAIN Purwokerto  - Hukum Keluarga Islam (HKI),IAIN Purwokerto  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,IAIN Purwokerto  - Perbankan Syari'ah,IAIN Salatiga  - Bimbingan dan Konseling Pendidikan Islam
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),IAIN Purwokerto  - Ekonomi Syariah
UIN Sunan Gunung Djati Bandung  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Syarif Hidayatullah Jakarta - Komunikasi Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama,IAIN Surakarta - Manajemen Bisnis Syariah
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Syarif Hidayatullah Jakarta - Ekonomi Syariah,UIN Walisongo Semarang  - Akuntansi Syariah
UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,IAIN Purwokerto  - Komunikasi Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),IAIN Purwokerto  - Tadris Bahasa Inggris,IAIN Purwokerto  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Walisongo Semarang  - Ekonomi Syariah / Ekonomi Islam
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,IAIN Purwokerto  - Hukum Ekonomi Syariah (HES),IAIN Purwokerto  - Ekonomi Syariah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,IAIN Surakarta - Pendidikan Bahasa Arab,IAIN Salatiga  - Pendidikan bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,IAIN Purwokerto  - Perbankan Syari'ah,UIN Walisongo Semarang  - Perbankan Syariah
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Gunung Djati Bandung  - Ilmu Al-Quran dan Tafsir,UIN Syarif Hidayatullah Jakarta - Ilmu al-Quran dan Tafsir
UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Walisongo Semarang  - Hukum Keluarga Islam (al-Ahwal al-Syakhsiyyah),IAIN Purwokerto  - Bimbingan dan Konseling Islam (BKI)
UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,IAIN Surakarta - Pendidikan Bahasa Inggris,IAIN Surakarta - Bimbingan dan Konseling Islam
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Maulana Malik Ibrahim Malang  - Hukum Ekonomi Syari'ah,IAIN Purwokerto  - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,IAIN Purwokerto  - Ekonomi Syariah,IAIN Syekh Nurjati Cirebon - Perbankan Syariah
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),IAIN Salatiga  - Psikologi Islam,IAIN Surakarta - Psikologi Islam
IAIN Purwokerto  - Perbankan Syari'ah,IAIN Purwokerto  - Ekonomi Syariah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,IAIN Purwokerto  - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),IAIN Purwokerto  - Komunikasi Penyiaran Islam
UIN Sunan Gunung Djati Bandung  - Manajemen Keuangan Syariah,UIN Walisongo Semarang  - Akuntansi Syariah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Walisongo Semarang  - Ekonomi Syariah / Ekonomi Islam,IAIN Tulungagung  - Ekonomi Syariah
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,IAIN Pekalongan - Ekonomi Syariah,IAIN Purwokerto  - Ekonomi Syariah
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,IAIN Purwokerto  - Tadris Bahasa Inggris
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Studi Agama-Agama,IAIN Purwokerto  - Studi Agama-Agama
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),IAIN Purwokerto  - Hukum Tata Negara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
IAIN Purwokerto  - Hukum Ekonomi Syariah (HES),UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),IAIN Surakarta - Hukum Ekonomi Syariah 
UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Walisongo Semarang  - Pendidikan Agama Islam,IAIN Purwokerto  - Hukum Tata Negara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
IAIN Purwokerto  - Ekonomi Syariah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,IAIN Purwokerto  - Hukum Ekonomi Syariah (HES)
UIN Walisongo Semarang  - Pendidikan Bahasa Inggris,UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama,IAIN Purwokerto  - Tadris Bahasa Inggris
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Walisongo Semarang  - Ekonomi Syariah / Ekonomi Islam,IAIN Purwokerto  - Ekonomi Syariah
UIN Maulana Malik Ibrahim Malang  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Sunan Gunung Djati Bandung  - Manajemen Keuangan Syariah
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Gunung Djati Bandung  - Manajemen Keuangan Syariah,UIN Syarif Hidayatullah Jakarta - Perbankan Syariah
UIN Syarif Hidayatullah Jakarta - Dirasat Islamiyah,UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,IAIN Purwokerto  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Pengembangan Masyarakat Islam,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,IAIN Purwokerto  - Pengembangan Masyarakat Islam
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,IAIN Purwokerto  - Ekonomi Syariah
UIN Sunan Kalijaga Yogyakarta  - Ilmu Hadis,IAIN Purwokerto  - Pendidikan Bahasa Arab,IAIN Pekalongan - Ilmu Hadits
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),IAIN Purwokerto  - Perbandingan Mazhab,UIN Walisongo Semarang  - Aqidah dan Filsafat Islam
IAIN Purwokerto  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),IAIN Purwokerto  - Hukum Keluarga Islam (HKI)
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,IAIN Purwokerto  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Walisongo Semarang  - Manajemen Dakwah,IAIN Pekalongan - Akuntansi Syariah
UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam,IAIN Surakarta - Aqidah dan Filsafat Islam,IAIN Surakarta - Sejarah Peradaban Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Walisongo Semarang  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,IAIN Purwokerto  - Hukum Tata Negara (Siyasah)
IAIN Purwokerto  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Walisongo Semarang  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Syarif Hidayatullah Jakarta - Hukum Tata Negara (Siyasah),UIN Walisongo Semarang  - Hukum Keluarga Islam (al-Ahwal al-Syakhsiyyah)
UIN Syarif Hidayatullah Jakarta - Ilmu al-Quran dan Tafsir,UIN Syarif Hidayatullah Jakarta - Bahasa dan Sastra Arab,UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab
UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah,IAIN Purwokerto  - Manajemen Dakwah,UIN Walisongo Semarang  - Perbankan Syariah
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,IAIN Purwokerto  - Ekonomi Syariah
IAIN Purwokerto  - Ekonomi Syariah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,IAIN Purwokerto  - Hukum Keluarga Islam (HKI)
UIN Syarif Hidayatullah Jakarta - Hukum Tata Negara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Gunung Djati Bandung  - Hukum Tatanegara (Siyasah),IAIN Purwokerto  - Perbandingan Mazhab
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,IAIN Salatiga  - Ekonomi Syariah
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,IAIN Purwokerto  - Tadris Bahasa Inggris,IAIN Purwokerto  - Pendidikan Agama Islam
IAIN Purwokerto  - Pendidikan Agama Islam,IAIN Purwokerto  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),IAIN Purwokerto  - Hukum Tata Negara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,IAIN Purwokerto  - Ekonomi Syariah,IAIN Pekalongan - Ekonomi Syariah
IAIN Purwokerto  - Bimbingan dan Konseling Islam (BKI),UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,IAIN Surakarta - Bimbingan dan Konseling Islam
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
IAIN Purwokerto  - Pendidikan Agama Islam,IAIN Purwokerto  - Bimbingan dan Konseling Islam (BKI),UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Pengembangan Masyarakat Islam,IAIN Surakarta - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Maulana Malik Ibrahim Malang  - Hukum Keluarga Islam (Ahwal Syakhshiyyah),UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),
IAIN Purwokerto  - Pendidikan Agama Islam,UIN Walisongo Semarang  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Walisongo Semarang  - Perbankan Syariah,IAIN Purwokerto  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah)
UIN Syarif Hidayatullah Jakarta - Perbankan Syariah,UIN Syarif Hidayatullah Jakarta - Komunikasi Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Maulana Malik Ibrahim Malang  - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Ilmu Hadis,UIN Maulana Malik Ibrahim Malang  - Bahasa dan Sastra Arab
IAIN Purwokerto  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Walisongo Semarang  - Ekonomi Syariah / Ekonomi Islam,UIN Sunan Gunung Djati Bandung  - Hukum Tatanegara (Siyasah)
IAIN Purwokerto  - Komunikasi Penyiaran Islam,IAIN Purwokerto  - Ekonomi Syariah,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Maulana Malik Ibrahim Malang  - Manajemen Pendidikan Islam (MPI),UIN Walisongo Semarang  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,IAIN Purwokerto  - Hukum Ekonomi Syariah (HES)
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,IAIN Purwokerto  - Ekonomi Syariah
IAIN Purwokerto  - Hukum Keluarga Islam (HKI),UIN Sunan Kalijaga Yogyakarta  - Pengembangan Masyarakat Islam,IAIN Salatiga  - Sejarah Peradaban Islam
IAIN Purwokerto  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Sunan Gunung Djati Bandung  - Pendidikan Agama Islam
IAIN Purwokerto  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Walisongo Semarang  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Gunung Djati Bandung  - Manajemen Pendidikan Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,IAIN Purwokerto  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,IAIN Purwokerto  - Ekonomi Syariah,IAIN Purwokerto  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Walisongo Semarang  - Manajemen Pendidikan Islam,UIN Maulana Malik Ibrahim Malang  - Ilmu Alqur'an dan Tafsir
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Walisongo Semarang  - Tasawuf dan Psikoterapi,IAIN Syekh Nurjati Cirebon - Bahasa dan Sastra Arab
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Studi Agama-Agama,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah)
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Gunung Djati Bandung  - Komunikasi dan Penyiaran Islam,UIN Walisongo Semarang  - Ilmu Seni dan Arsitektur Islam
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Walisongo Semarang  - Tasawuf dan Psikoterapi,IAIN Purwokerto  - Tadris Bahasa Inggris
UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,IAIN Purwokerto  - Perbankan Syari'ah
IAIN Purwokerto  - Ekonomi Syariah,IAIN Purwokerto  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Walisongo Semarang  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,
UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Syarif Hidayatullah Jakarta - Pendidikan Bahasa Inggris,UIN Syarif Hidayatullah Jakarta - Pendidikan Bahasa Arab
IAIN Purwokerto  - Perbankan Syari'ah,IAIN Purwokerto  - Bimbingan dan Konseling Islam (BKI),UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Walisongo Semarang  - Manajemen Dakwah
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,IAIN Purwokerto  - Ekonomi Syariah
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam
UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama,UIN Walisongo Semarang  - Pengembangan Masyarakat Islam,IAIN Purwokerto  - Pengembangan Masyarakat Islam
IAIN Purwokerto  - Komunikasi Penyiaran Islam,UIN Walisongo Semarang  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),IAIN Purwokerto  - Bimbingan dan Konseling Islam (BKI),UIN Walisongo Semarang  - Pendidikan Guru Madrasah Ibtidaiyah
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Walisongo Semarang  - Komunikasi dan Penyiaran Islam,IAIN Purwokerto  - Komunikasi Penyiaran Islam
UIN Maulana Malik Ibrahim Malang  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Walisongo Semarang  - Hukum Ekonomi Syariah (Muamalah),IAIN Purwokerto  - Ilmu Al Qur'an dan Tafsir
IAIN Purwokerto  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),IAIN Purwokerto  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Syarif Hidayatullah Jakarta - Ekonomi Syariah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Syarif Hidayatullah Jakarta - Pendidikan Bahasa Inggris,UIN Sunan Gunung Djati Bandung  - Pendidikan Bahasa Inggris,UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam
UIN Syarif Hidayatullah Jakarta - Bimbingan dan Penyuluhan Islam,IAIN Purwokerto  - Bimbingan dan Konseling Islam (BKI),UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Islam Anak Usia Dini,UIN Walisongo Semarang  - Pendidikan Islam Anak Usia Dini,UIN Walisongo Semarang  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Walisongo Semarang  - Hukum Ekonomi Syariah (Muamalah),IAIN Purwokerto  - Komunikasi Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,IAIN Purwokerto  - Pendidikan Agama Islam,IAIN Purwokerto  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Maulana Malik Ibrahim Malang  - Bahasa dan Sastra Arab,UIN Maulana Malik Ibrahim Malang  - Ilmu Alqur'an dan Tafsir
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah,IAIN Purwokerto  - Manajemen Pendidikan Islam
UIN Walisongo Semarang  - Manajemen Dakwah,UIN Walisongo Semarang  - Manajemen Haji dan Umrah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah
IAIN Purwokerto  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),IAIN Surakarta - Pendidikan Guru Madrasah Ibtidaiyah,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
IAIN Purwokerto  - Komunikasi Penyiaran Islam,UIN Walisongo Semarang  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Gunung Djati Bandung  - Hukum Tatanegara (Siyasah),UIN Walisongo Semarang  - Hukum Keluarga Islam (al-Ahwal al-Syakhsiyyah)
